artist,song,line
JAY-Z,Can I Live,Sort of like the fiends we accustomed to servin'
JAY-Z,Can I Live,"Like a Lexus, if driven wrong it's sure to hurt you"
JAY-Z,Can I Live,"I stepped it up another level, meditated like a Buddhist"
Fabolous,Forgive Me Father,Pokin out the shirt like a Pamela Lee titty
Fabolous,Forgive Me Father,Got dudes who sit on corners like a boxer between rounds
Fabolous,Forgive Me Father,I'm in a coupe with a roof that ball up like a fist (Catch up!)
Cam'ron,Down and Out,"Guns everywhere, like the car came with hammers, he's back"
Lil Wayne,Fly In,Just a bite like an old shark
Lil Wayne,Lollipop Remix,Sh-Sh-She lick me like a lollipop
Lil Wayne,Lollipop Remix,She— She lick me like a lollipop
Lil Wayne,Lollipop Remix,And I just wanna act like a porno-flicking actor
Lil Wayne,Lollipop Remix,Lick me like a lollipop (Lollipop)
Lil Wayne,Lollipop Remix,She— She lick me like a lollipop (L-Lollipop)
Lil Wayne,Lollipop Remix,Sh-Sh-Sh-She lick me like a lollipop (Lollipop)
Lil Wayne,Lollipop Remix,She— She lick me like a lollipop (Lollipop)
Clipse,Im Not You,"I make ya people say, ""Wow, that didn't look like my man"""
Clipse,Im Not You,"Made his head stand on end and like a baby, I rocked 'em"
Cam'ron,Family Ties,"Motherfucker, you look like a lady-lover"
Cam'ron,Lord You Know,Felt like the Towers when the planes went on crash
Cam'ron,Lord You Know,"I'm like a ballplayer, shake up and cross narcs"
Cam'ron,Lord You Know,Can't see his son shine like the Four Tops
Lil Wayne,Money On My Mind,"I'm looking like a star, bitch, when you see me, make a wish"
Fabolous,Think Yall Know,"Motherfuck the house, the nigga's garage is as big as the projs"
Fabolous,Think Yall Know,I move from city to city like a nigga at large
Fabolous,Think Yall Know,"They said sounded like the kid's speech was a little slow (uh huh, uh huh)"
Big L,98 Freestyle,That pussy was tight — gripping my dick like a pair of pliers
Big L,98 Freestyle,That’s quick to beat a nigga like a cheap rug till he leak blood
Big L,98 Freestyle,Leave your clothes bloody-red like the nose of Rudolph
Birdman,What Happened to That Boy?,"I'm heavy in the street like the 7-Serie' Beemer, man"
JAY-Z,Its Hot Some Like It Hot,.38 revolve like the sun round the Earth
Cam'ron,Losing Weight Pt. 2,Do like a toaster put your bread down
JAY-Z,Its Like That,"Life's like a treadmill, niggas runnin' in place"
Cam'ron,More Gangsta Music,I like a chick with big breasts on her chest
Cam'ron,More Gangsta Music,(Jeah!) It's like the whole Byrd Gang's in here
Cam'ron,More Gangsta Music,(Jeah!) It's like the whole Byrd Gang's in here
Cam'ron,More Gangsta Music,(Jeah!) It's like the whole Byrd Gang's in here
Lil Wayne,Mr. Carter,"Feet up, like a paraplegia"
The Coup,The Liberation of Lonzo Williams,(Treatin his sisters like a hooker) Greetin his partners with a hug
Eminem,Encore / Curtains Down,Back and forth all day like the hot potato game
Anybody Killa,Foo Dang,So why you gotta front? Try and play me like a punk
Anybody Killa,Foo Dang,Reppin gold is like a crip wearin red in my hood
Anybody Killa,Foo Dang,And I'll slap ya wit a bat like a G should (Beeitch!!)
Gucci Mane,Colors,Sixes got my donk sitting like a Winnebago
Big Tymers,Broads,You got my dick hard like a '57 Chevy
Big Tymers,Broads,Now you stuck out like a ho!
Lil Wayne,Fly Out,"I threw the key in the drain, I'm like a key in a drought"
Lil Wayne,Fly Out,Seeing through you niggas like a fuckin' psychic
Lil Wayne,Fly Out,Hear them bullets hissin' like a cobra at attention
Lil Wayne,Fly Out,"Throw my dope like a rope, let 'em tug and pull"
Lil Wayne,Im Blooded,Stand at the top like a tack in the roof
Lil Wayne,Im Blooded,Still on these hoes like a mack in a suit
Lil Wayne,Im Blooded,"And I own my team, I'm like a Maloof"
Ghostface Killah,Big Girl,I'm like a father figure and all that shit
AZ,Never Change,His Carti frames was as clear as a camera lens
Lil' Kim,Suck My Dick,Why you actin' like a bitch?
Lil' Kim,Suck My Dick,Why you actin' like a bitch?
Lil' Kim,Suck My Dick,Why you actin' like a bitch?
Re-Up Gang,Im a Hustla,It's only the soft it twists like a wrestler on me
