artist,song,year,tag,views,signified,signifier,line
Anthony Trollope,Humpty Dumpty,1873,misc,1,going about,a mad dog,"""All right,"" said Gager. ""So far, so good. I don't agree with you, Mr. Bunfit; because the thing, when it was done, wouldn't be worth the money. Lord love you, what would all that have cost? And what was to prevent the lady and Lord George together taking the diamonds to Benjamin and getting their price? It never does to be too clever, Mr. Bunfit. And when that was all done, why did the lady go and get herself robbed again? No;—I don't say but what you're a clever man, in your way, Mr. Bunfit; but you've not got a hold of the thing here. Why was Smiler going about like a mad dog,—only that he found himself took in?"""
Rich The Kid,Plain Jane,2022,rap,416,my phone,a baby mama,Plug callin' my phone like a baby mama
Rich The Kid,Plain Jane,2022,rap,416,my phone,a baby mama,Plug callin' my phone like a baby mama
Rich The Kid,Plain Jane,2022,rap,416,my phone,a baby mama,Plug callin' my phone like a baby mama
SplitzDaGuru,Own Space,2022,rap,12,his melon,an egg,Nine Go Super Saiyan And Crack His Melon Like An Egg
Gar Greatest At Rapping,Quintessentially Human,2021,rap,2,me hard,a pile of bricks,Streets made me hard like a pile of bricks
Co Lee,Song Of The Psycho,2021,rap,3,a cover,an overcoat,"My flow is cold, need a cover like an overcoat"
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,smoke you,a peace pipe,Smoke you like a peace pipe
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,never cute,a panda,Never cute like a panda
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,i buck'em,a ram,Hey I don't give a damn as I buck'em like a ram
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,just go,a wood pecker,"I get aggrevated just go like a wood pecker, peck some wood"
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,i'm sharp,a razor,"Yet I'm sharp like a razor, Heavy duty like a blazer"
Tha Mexakinz,Cok Bak Da Hamma,1994,rap,15,always shocking,a tazzer the way amaze 'yuh,Always shocking like a tazzer the way amaze 'yuh
Digitalplaisir,JOUR DE PAYE,2021,rap,9,le truc,a jew,"J'vais faire le truc like a jew, si jamais t'empruntes, rembourses"
