artist,song,signified,signifier,line
Cam'ron,Killa Cam,ice,Winnipeg,"Lemonhead, end up dead, ice like Winnipeg"
JAY-Z,Can I Live,level,duplexes,"Dual level like duplexes, in unity"
JAY-Z,Can I Live,open,CBS,"So I keep one eye open like CBS — you see me stressed, right?"
Fabolous,Forgive Me Father,gun,Jesse The Body in Predator,I got the gatling gun like Jesse The Body in Predator
Fabolous,Forgive Me Father,ball,a fist ( Catch up,I'm in a coupe with a roof that ball up like a fist (Catch up!)
Lil Wayne,Fly In,bite,an old shark,Just a bite like an old shark
Lil Wayne,Lollipop Remix,breastses,Dolly Parton,"Lollipop, lollipop, breastses just like Dolly Parton"
Lil Wayne,Lollipop Remix,lick,a lollipop ( Lollipop,Lick me like a lollipop (Lollipop)
Cam'ron,Family Ties,dope,me,"Pump that Dip in ya veins, get dope like me"
Cam'ron,Rockin and Rollin,limon,Bacardi,Limon like Bacardi
Lil Wayne,Money On My Mind,coke,"hoes , nigga","I whip coke like hoes, nigga, I'm a pimp (Yeah)"
Big L,98 Freestyle,niggas,Dammit,"Have y'all niggas like ""Dammit, this nigga done done it again"""
Big L,98 Freestyle,thing,that,"Battle Corleone, why do a stupid thing like that?"
Big L,98 Freestyle,nigga,a cheap rug,That’s quick to beat a nigga like a cheap rug till he leak blood
Big L,98 Freestyle,red,the nose of Rudolph,Leave your clothes bloody-red like the nose of Rudolph
JAY-Z,Its Hot Some Like It Hot,hova,Noah,Hova's like Noah keep two in the truck
Cam'ron,Losing Weight Pt. 2,niggas,fuck,"Niggas like ""fuck, is he stupid?"" (Yes I am)"
JAY-Z,Its Like That,life,"a treadmill , niggas runnin  in place","Life's like a treadmill, niggas runnin' in place"
JAY-Z,Its Like That,exchange,that,"Stock exchange (like that yo), rocks and thangs"
Lil Wayne,Mr. Carter,nothin',that,You know what I mean? Like gainin' weight or nothin' like that
Lil Wayne,Mr. Carter,feet,a paraplegia,"Feet up, like a paraplegia"
The Coup,The Liberation of Lonzo Williams,something,Darth Vader,Trying to build an Empire something like Darth Vader
The Coup,The Liberation of Lonzo Williams,sisters,a hooker,(Treatin his sisters like a hooker) Greetin his partners with a hug
Anybody Killa,Foo Dang,actin,something changed,And sayin things you know he's actin like something changed
Anybody Killa,Foo Dang,bat,a G,And I'll slap ya wit a bat like a G should (Beeitch!!)
AZ,Love Is Love,math,caller ID,"My mind hold math like caller ID, chose the path that chose me"
Gucci Mane,Colors,decepticon,Legos,Transformer Benz Decepticon like Legos
Gucci Mane,Colors,sitting,a Winnebago,Sixes got my donk sitting like a Winnebago
Gucci Mane,Colors,bird,Woody Woodpecker,Red and blue and white 'Bird like Woody Woodpecker
Lil Wayne,Fly Out,niggas,a fuckin  psychic,Seeing through you niggas like a fuckin' psychic
Lil Wayne,Fly Out,day,this,I live every day like this is the sure one
Fabolous,A Milli,bucket,Gilligan wear,White bucket like Gilligan wear
Wu-Tang Clan,C.R.E.A.M.,rough,leather,Times is rough and tough like leather
