artist,song,signified,signifier,line
"Royce da 5'9""",Malcolm X,grill,a fuckin truck,"That's good, cause you got a grill like a fuckin truck!"
Army of the Pharaohs,Feast of the Wolves,fall,foliage,"The foamiest fall, like foliage when they brawl"
415,Call It What You Want 2,dope,a muthafuckin  kingpin,I'm droppin' dope like a muthafuckin' kingpin
Clipse,Trill,show,Regis ( What ?,Nigga talk show like Regis (What?)
Clipse,Trill,redneck,Texas,I ain't mention the Rollie redneck like Texas
T.I.,Im Illy,cash,the U.S. Treasury,Stack that cash like the U.S. Treasury
Kanye West,All of the Lights Remix,look,fifty,"I just stepped out of the strip club, made five-thousand look like fifty"
Akon,Holla Holla,actin,that,Actin' like that (like that) I know you wanna ride
Almighty (Group),Rising Sunz,man,the Son of Sam,With mic in hand I'll kill a man like the Son of Sam
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Days like this)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Yes she did)
Aesop Rock,Maintenance,days,this,"My mama told me there'd be days like this, days like this, days like this"
Aesop Rock,Maintenance,days,this,Days like this... (Days like this)
Curren$y,Hold On,eyes,McGrady,Purple haze give me lazy eyes like McGrady
Kid Ink,Keep It Rollin,nothing,the last guy,Only one year and I ain't nothing like the last guy
Raekwon,Wu-Gambinos,sweep,a broom,"Holding up your saloon, clean sweep like a broom"
K'naan,If Rap Gets Jealous,shit,that,Or some shit like that
Antoinette,Lights Out Partys Over,blizzard,Christmas,But I'ma snow and drop a blizzard like Christmas
2Pac,Let Em Have It Hutch Mix,nigga,steel,How does it feel got a nigga like steel in ya
2Pac,Let Em Have It Hutch Mix,bitches,switches comin,Hittin' bitches like switches comin' around the corner
Jedi Mind Tricks,Tibetan Black Magicians,devil,the Canaanite in Sackcloth,Cos you a devil like the Canaanite in Sackcloth
Wiz Khalifa,In My Car,hoes,Hilary,Got hoes like Hilary and smoke like Bill
Travis Barker,If U Want To,red,crips and pirus,To keep em seeing red like crips and pirus
Beanie Sigel,Dont Stop,hot,Cajun,"Cops couldn't page em, flow so amazing, hot like Cajun"
Beanie Sigel,Dont Stop,shooters,the Mavericks,Keep three shooters like the Mavericks
Tha Alkaholiks,Goin Crazy,comin,rice,Bullet comin at ya like rice at a wedding
Tha Alkaholiks,Goin Crazy,weak,the Bengals,You weak like the Bengals
Tha Alkaholiks,Goin Crazy,soft,mangos and rainbows,Soft like mangos and rainbows
Tha Alkaholiks,Goin Crazy,smell,cock,"The hoes mouth smell like cock, uh"
Tha Alkaholiks,Goin Crazy,crispy,Stevie s on the strip,"While Tash will fry ya extra crispy, like Stevie's on the strip"
Tha Alkaholiks,Goin Crazy,feelin,a UFO,Feelin' like a UFO
Above the Law,4 the Funk of It,bitch,glass,"G, I break a bitch like glass"
OutKast,A Life in the Day of Benjamin André Incomplete,road,Jack,We hit the road like Jack
OutKast,A Life in the Day of Benjamin André Incomplete,fit,glove,"Fifteen-love, fit like glove"
OutKast,A Life in the Day of Benjamin André Incomplete,girl,that,"Do that girl like that, boy? You ought to be ashamed"""
Eminem & Sway & King Tech,Get You Mad,stomach,a paper mâché,Rippin' your stomach like a paper mâché
Killer Mike,Thats Life,liars,the ones we got now,Just don't be liars and connivers like the ones we got now
Killer Mike,Thats Life,hog,most of the ones we got now,Just don't be a motherfuckin' greedy hog like most of the ones we got now
Surf Club,I Cant Miss,cheer,victory,And I swear I'm a make her cheer like victory
Surf Club,I Cant Miss,spear,britt - an - y,Shawy shawty you can be a spear like britt-an-y
Al-D,Im Reaching,stones,"two smooth , brick homes","Slanging stones like two smooth, brick homes"
B.G.,Playn and Laughn,habbit,dat,I got skills for double platium I'm an habbit like dat
Joe Budden,Inception,show,Steve Wilko,Tough guys turn talk show like Steve Wilko’s
Laws,The Rising,disappearin,my past debts,My competition disappearin' like my past debts
The Beatnuts,Slam Pit,cold,Antarctica,"My heart is cold like Antarctica, nailin niggas like carpenters"
Common,Southside,nigga,Steve Jobs,"A conscious nigga with mack, like Steve Jobs"
Common,Southside,tower,the Eiffel,"The un-American idol, tower like the Eiffel"
Common,Southside,black,the Disciples,"Lean with it, rock with it, Black like the Disciples"
Lowkey,In My Lifetime,mind,Albert Einstein,Inside of my head is a mind like Albert Einstein
Army of the Pharaohs,Murda Murda,flesh,Indiana Jones,Melting flesh like Indiana Jones
Lil Wayne,King Kong,bitch,my body in the oven,"The Fireman, bitch, like my body in the oven"
Lil Wayne,King Kong,name,honey,"My name like honey, got a lot of bitches buzzin'"
Lil Wayne,King Kong,lunch,Pharoahe,"And it shoot a bunch, you just lunch and it munch, like Pharoahe"
Lil Wayne,King Kong,tips,a dancer bitch,My hollow bullets got tips like a dancer bitch
Lil Wayne,King Kong,holes,an old pair of sneakers,Holes all in you like an old pair of sneakers
OutKast,Babylon,nigga,me,Where a bona fide nigga like me can't even get no backrub these days
9th Prince,Aint Promised Tomorrow,spook,the holy ghost,Niggas turn spook like the holy ghost
Black Eyed Peas,A8,continental,Lincoln,I'm going continental like Lincoln
Big John,3 Kings,d,the O - D,I O-D like the O-D the fish on him
Big John,3 Kings,snake,characteristics,Snake like characteristics
Big John,3 Kings,rappers,Pharrell or Kanye West,We ain't no GQ rappers like Pharrell or Kanye West
AZ,Magic Hour,movements,your hands,"Respect, finesse movements like your hands in graffiti"
AZ,Magic Hour,smellin,fresh cut leather,Smellin' like fresh cut leather
2Pac,Check Out Time,playa,my nigga Syke,"So I assume, since I'm a playa like my nigga Syke"
Above the Law,Everything Will Be Alright,actin,crows,"Owww, actin' like crows"
Above the Law,Everything Will Be Alright,hoes,takin,"Shit, I learned hoes like takin' off they clothes"
EPMD,Youre a Customer,mic,a wild beast savage,"Yo, I rock the mic like a wild beast savage"
EPMD,Youre a Customer,move,chess,"I make a move like chess, then I yell ""checkmate"""
EPMD,Youre a Customer,close,Steve Austin,"My eyes close like Steve Austin, I got you in the square"
EPMD,Youre a Customer,ass,"Bounty ,","Absorb that ass like Bounty, the quicker picker upper"
EPMD,Youre a Customer,rhyme,a tailor,"'Cause I'mma rhyme like a tailor, flow like a sailor"
EPMD,Youre a Customer,dramatic,an actor,When I grab the mic I get dramatic like an actor
AZ,Your World Dont Stop,uncivilized,cavemen,"Misbehavin', actin' uncivilized like cavemen"
Big Gemini,Blow Me Away,lookin,J. Lo,Lookin' like J. Lo
Big Gemini,Blow Me Away,girl,"the purple kush ,","Girl, you blowin' my mind, like the purple kush, high"
Lil Wayne,Magic,wet,a pool,"Leave your stupid ass wet like a pool, bitch"
Lil Wayne,Magic,knife,Shinobi,"These niggas know me, nigga, knife like Shinobi, nigga"
Beastie Boys,Root Down,electric,Dick Hyman,‘Cause I'm electric like Dick Hyman
Beastie Boys,Root Down,goofy,the fruit of the loom guys,"Well, I'm not coming out goofy like the fruit of the loom guys"
69 Boyz,Woof Woof,something,this,And it goes a little something like this
2Pac,Hellrazor,girl,LaTasha,"Little girl like LaTasha, had to die"
2Pac,Hellrazor,stressin,a motherfuckin  drug dealer,Stressin' like a motherfuckin' drug dealer
AZ,Live Wire,barrel,Miami weather,Black beretta hot barrel like Miami weather
AZ,Live Wire,esteem,Idi Amin,My self esteem's like Idi Amin
Eminem,Spend Some Time,girl,you,I used to say I never met a girl like you before
Eminem,Spend Some Time,talkin,an opportunist,"She got to talkin', talkin' like an opportunist too"
Asheru,Truly Unique Live in Amsterdam,vivid,DVD in 3D,"Vivid like DVD in 3D, stand frigid while I digitally soundbomb, uh"
Asheru,Truly Unique Live in Amsterdam,brother,Ashe,But imagine a brother like Ashe' goin' out like that
